Task1,Task12,Task23,Task9,Task20,Task24,TotalDuration
3.125827167627567,5.406179088408658,8.219928647209876,2.0,7.018535988942015,3.081006783278119,28.85147767546624
3.9857504340754,5.449591146455659,8.731596624209278,2.0,7.541909328630118,4.426880744739613,32.135728278110065
3.50413123225586,5.286963340099242,8.150294155023564,2.0,5.996336622107981,4.312977890625706,29.250703240112355
4.294672800720591,4.456908166927426,8.092981126190756,2.0,5.547215111497802,3.186051013376718,27.577828218713297
3.317738426545862,5.275762811899975,8.268172862121542,2.0,6.489437808888589,4.922353742594312,30.273465652050277
3.7902012863000305,5.433382694143027,8.132240142138404,2.0,6.962565237347395,4.4255077077565765,30.74389706768543
4.156517530963924,4.423914826760126,8.170356052889012,2.0,6.619372630250114,3.453548393981305,28.823709434844478
4.028263197307006,5.910000846560486,8.66202356027067,2.0,5.98880694507357,5.576738418993314,32.165832968205045
4.43649471825014,4.939362785439246,8.73037038427587,2.0,3.975678799498024,3.5739491519535322,27.65585583941681
3.1875782960688497,6.441347947740864,8.251986007712873,2.0,6.16492893315011,3.034047556187752,29.079888740860447
3.225118526330233,4.57162963020648,8.080709338040228,2.0,6.689530847286894,4.74209828080851,29.309086622672343
3.0809554840249036,5.400131753082691,8.900539513390047,2.0,6.2513289923882365,4.207130868665938,29.840086611551815
3.6225292542938736,6.270797790500132,8.131714814331326,2.0,6.564572044366751,5.2164268789424835,31.806040782434565
3.4806966679545677,6.07902511285197,8.4671605483567,2.0,6.897945436081644,4.966788369483435,31.891616134728313
3.158784286331428,4.303271502646897,8.306794021104663,2.0,3.492130641842146,2.619632630452902,23.880613082378037
3.025933738885391,4.24019520112892,8.196362881388481,2.0,6.883128969034997,4.119768291529359,28.465389081967153
3.3057936939318395,5.919395870754074,8.229814867672946,2.0,6.385423150040074,4.643529849878477,30.483957432277407
3.397118029689426,5.144563926478341,8.057449056081277,2.0,4.689196314374652,4.731236488344036,28.019563814967732
3.6443083436507213,6.079601011998916,8.232543283263896,2.0,7.859102412457434,4.227645373679354,32.043200425050316
3.6923623183481977,5.031029365327412,8.223262626571934,2.0,7.100616838373889,2.969686136847762,29.016957285469196
4.705419826491254,4.271973008766458,8.31060207764522,2.0,4.360109808034701,4.27392589301504,27.92203061395267
4.365283619728436,5.223476533772753,8.043704234338216,2.0,3.8959628199666714,4.428633511286454,27.957060719092528
4.531073937926519,6.017037572897593,8.285296573203315,2.0,5.61351053548749,4.8381548782571775,31.285073497772093
3.2006925776744515,6.717049167347118,8.239524329501311,2.0,4.059650571780502,4.7157738547467,28.932690501050082
3.5510365417859884,5.010118294193492,8.061817569097135,2.0,5.755130133332236,3.859269714724385,28.237372253133238
3.3724207146540426,5.599448893683005,8.439612018209706,2.0,6.158656417442117,3.8156423605822383,29.385780404571108
4.508709576232157,5.522858786652549,8.70059589449688,2.0,5.031992174025689,5.029773229050812,30.793929660458083
3.9424856029662463,4.271509126772653,8.145811789730828,2.0,6.776405663578274,4.236289231310051,29.372501414358055
